Year Class,Norton Sound,Togiak,Kodiak/Kamishak,Pr. William Sound,Seymour Canal,Sitka,Southeast,Craig,Kah Shakes,Prince Rupert,Queen Charlotte,Central Coast,Vancouver Island,Strait of Georgia
1917,,,,,,,7.6,,,,,,,
1918,,,,,,,45.2,,,,,,,
1919,,,,,,,18.5,,,,,,,
1920,,,,,,,39.8,,,,,,,
1921,,,,,,,55.2,,,,,,,
1922,,,,,,,171.3,,,,,,,
1923,,,,,,,238.2,,,,,,,
1924,,,,,,,164,,,,,,,
1925,,,83,122.4,,,2080.1,,,,,,,
1926,,,234.7,301.3,,,907.9,,,,,,,
1927,,,128.3,209.5,,,295.5,,,,,,,
1928,,,97.8,247.1,,,856,,,,,,,
1929,,,115.5,189,,,265.6,,,,,,,
1930,,,1368.8,1337.8,,,2124.8,,,,,,,
1931,,,140.8,115.7,,,171.5,,,,,,,
1932,,,75.4,103.5,,,160.5,,,,,,,
1933,,,85.6,82.8,,,218.6,,,,,,,
1934,,,366.2,908.2,,,581.1,,,,,,,
1935,,,1084.6,782.2,,,166.8,,,,,,,
1936,,,103.9,145.2,,,45.2,,,,,,,
1937,,,88.1,194.1,,,24.3,,,,,,,
1938,,,627.6,219.5,,,76.8,,,,,,,
1939,,,1050,31.1,,,283.3,,,,,,,
1940,,,658.3,131.2,,,191.8,,,,,,,
1941,,,381.7,220,,,535.7,,,,,,,
1942,,,237,125.5,,,224.9,,,,,,,
1943,,,532.3,461.6,,,869.2,,,,,,,
1944,,,101.1,103.5,,,152.6,,,,,,,
1945,,,69.9,112.5,,,149.4,,,,,,,
1946,,,363.8,64.2,,,305.2,,,,,,,
1947,,,18.3,155.3,,,150.6,,,,,,,
1948,,,5.9,20.2,,,79.9,,,610.3,186.1,304.5,214.4,869.3
1949,,,8.4,17.7,,,102.5,,,319.5,198.7,116.6,172.7,1029
1950,,,67,202.1,,,211.2,,,327.4,275.8,152.8,249.4,1172.3
1951,,,29.2,2.1,,,92.5,,,770.5,1346.2,955,426.3,2112
1952,,,588.9,427.6,,,1717.9,,,244.1,164.7,102.2,240.6,1286.3
1953,,,14.3,9.4,,,112.9,,,603.5,215.4,117.9,322,732.8
1954,,,4.7,21.9,,,72.7,,,188.8,67.7,230.5,419,666.2
1955,,,10.2,38.2,,,73.1,,,338.8,93.1,375.2,515.8,580.6
1956,,,30,,,,602.5,,,696.2,149.9,450.1,689.9,1528
1957,,,,,,,1009.7,,,227.3,75.4,107.2,453.4,101.8
1958,,,,,,,94,,,1197.1,239.9,213.2,221.4,523.7
1959,,,,,,,70,,,604.8,290.5,603.1,518.8,1207.4
1960,,,,,,,87.3,,,349.7,552,305.1,275.8,1142.4
1961,,,,,,,23,,,99.4,113.4,284.6,381.9,1041
1962,,,,,,,16.4,,,128.9,303.2,105.1,101.8,530.9
1963,,,,,,,117.9,,,19.2,20,136.8,92.6,237.6
1964,,,,,,442.1,442.1,,,52.9,15,119.2,165.8,225.1
1965,,,,,,54.2,54.2,,,53.7,19.7,24.3,4.3,68.3
1966,,,,,,27.5,27.5,,,91.8,42.9,27.1,63.2,99
1967,,,,,,13.8,197.3,183.5,,487.9,119.5,134.8,333.6,319.2
1968,,,,,,94.9,132,37.1,,360.3,270.9,115.4,687.2,367.9
1969,,4.2,,,12.68,147.9,161,13.1,429.1,164.8,234,143,516.7,288.6
1970,,12.9,,353.9,48.1,26.7,69.2,42.6,100.4,323.8,641.5,244,631.8,453.6
1971,,0.9,,130.3,44.1,134,151.6,17.6,126.3,307.1,516,160.5,676.9,700.5
1972,4.7,80.6,0.6,116.7,6,22.3,33.2,10.9,32.1,135.7,458.5,213.4,1131.1,945
1973,5.4,238.5,7.1,110.3,6,92,98.2,6.2,5.8,79.2,119.8,103,471.6,652.8
1974,15.7,265.8,42.2,81.8,8.9,40.1,44.6,4.5,46.2,151.6,156.2,51.3,287.9,1116.9
1975,4,18.5,200.5,146.4,7.2,173.7,176.2,2.5,28.5,76.7,175.4,58,458.1,883.3
1976,322.4,86.3,214.8,889.6,13.1,921.9,932.5,10.6,41.3,74.2,98.6,39.6,131.8,478.2
1977,160.8,1475,355.5,172.3,99.8,208.7,618.8,410.1,385.7,736.4,1938.5,404.5,288.6,660
1978,76.3,1444.1,201.2,98.5,29.8,28.1,83.5,55.4,86,165.8,140.7,78.4,206.1,502.5
1979,128,605.3,207.9,107.1,21.4,116.1,270.1,154,88.6,204.3,57.3,84.5,108.3,401.1
1980,54.9,180.8,134.3,369.5,61.2,821,883.1,62.1,80.7,228.1,62,37.4,74.7,316.9
1981,99.6,344.8,167.6,292,109.4,305,426.3,121.3,147.9,670.3,418.9,31.7,143.2,279.6
1982,109.5,83.7,36,86.6,67.1,62.4,89.6,27.2,54,133.8,186.2,122.8,307.2,451.4
1983,39.7,28.5,186.4,94.8,51.1,245.4,289.5,44.1,42.7,130.8,42.9,51.5,298.4,689
1984,44.6,217.9,303.8,1267.1,42.5,1550,26211.7,1061.7,110,509.1,88.9,98.1,121,391.9
1985,7,33,67.1,138.7,23.9,170.7,654.3,483.6,55.9,440.8,631.3,588.8,724.7,1219.3
1986,26.7,42.9,45.7,41.7,32.3,11.1,160.8,149.7,42.8,276.3,242.9,41.9,125.9,368.2
1987,4.6,476.3,93.3,61.9,19.8,49.9,112.1,62.2,33.4,150.9,84.3,37.3,158.6,882.6
1988,118.4,287,379.3,1229.9,82.9,1573.6,1818.1,244.5,173.5,717.8,54,123.9,93,422.4
1989,34.8,91.1,34.1,76.6,41.2,83.5,195,111.5,93.5,824.3,261.5,636,309.7,1056.8
1990,42.4,78.8,27.6,51.7,17.7,33.3,114.6,81.3,55.7,241.4,2.2,80.5,169.9,732.9
1991,62.6,180.8,7.6,13.9,3.9,62.4,85.2,22.8,31.9,109.1,12.8,151.7,124.8,734.4
1992,13.8,199.4,2.8,145.6,39.4,415.9,530.2,114.3,67.4,315.7,49.8,34.5,57.8,357.8
1993,65.1,,150.9,207.6,146.3,694.1,977.8,283.7,144.7,1875.7,260.1,97.1,70.6,857.8
